,total_sessions,distinct_active_days,distinct_features_used,total_feature_events,time_to_first_value_hrs,feature_adoption_breadth,session_frequency,engagement_slope,events_per_session,active_day_ratio,features_per_active_day,is_fast_activator,has_positive_slope,used_power_feature,converted_int
total_sessions,1.0,0.9254,0.3933,0.4813,-0.2797,0.3933,0.5167,0.0744,-0.3011,0.9254,-0.4853,0.2301,0.0049,0.1545,0.1386
distinct_active_days,0.9254,1.0,0.378,0.4594,-0.2723,0.378,0.203,0.076,-0.3046,1.0,-0.5608,0.2244,0.0028,0.1549,0.1341
distinct_features_used,0.3933,0.378,1.0,0.8425,-0.5062,1.0,0.1966,0.1454,0.4309,0.378,0.3179,0.3912,0.0459,0.4661,0.1634
total_feature_events,0.4813,0.4594,0.8425,1.0,-0.4626,0.8425,0.2288,0.1873,0.4736,0.4594,0.1378,0.4278,0.0612,0.3998,0.3245
time_to_first_value_hrs,-0.2797,-0.2723,-0.5062,-0.4626,1.0,-0.5062,-0.1419,0.0574,-0.2708,-0.2723,-0.1435,-0.4967,0.1922,-0.3394,-0.131
feature_adoption_breadth,0.3933,0.378,1.0,0.8425,-0.5062,1.0,0.1966,0.1454,0.4309,0.378,0.3179,0.3912,0.0459,0.4661,0.1634
session_frequency,0.5167,0.203,0.1966,0.2288,-0.1419,0.1966,1.0,0.0216,-0.1694,0.203,-0.0665,0.0971,-0.0035,0.0793,0.0656
engagement_slope,0.0744,0.076,0.1454,0.1873,0.0574,0.1454,0.0216,1.0,0.0991,0.076,0.029,-0.0882,0.7238,0.0793,0.0856
events_per_session,-0.3011,-0.3046,0.4309,0.4736,-0.2708,0.4309,-0.1694,0.0991,1.0,-0.3046,0.7759,0.2236,0.0376,0.2554,0.1924
active_day_ratio,0.9254,1.0,0.378,0.4594,-0.2723,0.378,0.203,0.076,-0.3046,1.0,-0.5608,0.2244,0.0028,0.1549,0.1341
features_per_active_day,-0.4853,-0.5608,0.3179,0.1378,-0.1435,0.3179,-0.0665,0.029,0.7759,-0.5608,1.0,0.0772,0.0163,0.1877,0.0009
is_fast_activator,0.2301,0.2244,0.3912,0.4278,-0.4967,0.3912,0.0971,-0.0882,0.2236,0.2244,0.0772,1.0,-0.1248,0.1967,0.1244
has_positive_slope,0.0049,0.0028,0.0459,0.0612,0.1922,0.0459,-0.0035,0.7238,0.0376,0.0028,0.0163,-0.1248,1.0,0.0395,0.0515
used_power_feature,0.1545,0.1549,0.4661,0.3998,-0.3394,0.4661,0.0793,0.0793,0.2554,0.1549,0.1877,0.1967,0.0395,1.0,0.0737
converted_int,0.1386,0.1341,0.1634,0.3245,-0.131,0.1634,0.0656,0.0856,0.1924,0.1341,0.0009,0.1244,0.0515,0.0737,1.0
