,count,mean,std,min,10%,25%,50%,75%,90%,max,skewness,kurtosis
total_sessions,2000.0,6.1495,3.2077,1.0,2.0,4.0,6.0,8.0,10.0,19.0,0.6543,0.3442
distinct_active_days,2000.0,4.961,2.2307,1.0,2.0,3.0,5.0,7.0,8.0,11.0,0.2482,-0.4621
distinct_features_used,2000.0,4.4555,1.9677,1.0,2.0,3.0,4.0,6.0,7.0,10.0,0.1998,-0.5406
total_feature_events,2000.0,41.764,30.1006,1.0,9.0,18.0,36.0,59.0,83.1,177.0,1.0104,0.8364
time_to_first_value_hrs,2000.0,35.3795,51.4952,0.0,2.0,6.0,17.0,42.0,91.0,352.0,3.0163,10.9479
feature_adoption_breadth,2000.0,0.4455,0.1968,0.1,0.2,0.3,0.4,0.6,0.7,1.0,0.1998,-0.5406
session_frequency,2000.0,1.2173,0.2444,1.0,1.0,1.0,1.1667,1.3333,1.5,3.0,1.3075,2.4351
engagement_slope,2000.0,2.759,11.6543,-36.0,-10.0,-4.0,2.0,9.0,17.0,84.0,0.5754,2.6652
events_per_session,2000.0,7.8752,6.9039,0.1667,2.0,3.6412,6.3333,10.0,15.0,104.0,3.8927,31.8121
active_day_ratio,2000.0,0.3544,0.1593,0.0714,0.1429,0.2143,0.3571,0.5,0.5714,0.7857,0.2482,-0.4621
features_per_active_day,2000.0,1.0959,0.7848,0.0909,0.4286,0.625,1.0,1.2857,2.0,7.0,2.6994,11.2784
