user_id,signup_date,company_size,plan_interested,converted,user_segment,archetype,drop_off_stage,total_sessions,distinct_features_used,time_to_first_value_hrs,used_power_feature,engagement_slope,feature_adoption_breadth,conversion_propensity_score,active_days_verified,features_touched_verified
U00001,2026-06-13,1-10,starter,1,Medium,Power Adopter,completed_trial_window,5,5,12.0,1,-6,0.5,82,5,5
U00002,2026-03-04,11-50,pro,0,High,Late Bloomer,completed_trial_window,7,5,37.0,1,1,0.5,89,6,5
U00003,2026-01-27,not_provided,business,0,Low,Growing Casual,completed_trial_window,3,2,13.0,0,6,0.2,49,3,2
U00004,2026-05-20,1-10,pro,1,Low,Plateaued User,completed_trial_window,1,2,49.0,1,-10,0.2,40,1,2
U00005,2026-01-09,1-10,starter,1,Medium,Power Adopter,completed_trial_window,6,5,3.0,1,-30,0.5,86,5,5
U00006,2026-03-01,not_provided,pro,1,High,Champion,completed_trial_window,6,9,5.0,1,40,0.9,99,6,9
U00007,2026-05-24,11-50,business,1,Medium,Power Adopter,completed_trial_window,6,3,17.0,1,0,0.3,72,4,3
U00008,2026-04-18,11-50,starter,0,Medium,Plateaued User,mid_trial_dropoff,1,3,37.0,1,-11,0.3,49,1,3
U00009,2026-05-31,51-200,starter,0,High,Champion,completed_trial_window,7,8,17.0,1,17,0.8,97,6,8
U00010,2026-02-10,not_provided,starter,1,Low,Power Adopter,mid_trial_dropoff,3,1,5.0,1,-10,0.1,57,3,1
U00011,2026-03-13,11-50,pro,0,Medium,Champion,early_dropoff,3,5,6.0,1,3,0.5,85,2,5
U00012,2026-03-28,1-10,starter,0,High,Champion,completed_trial_window,9,5,15.0,1,5,0.5,99,8,5
U00013,2026-04-08,1-10,business,0,Medium,Plateaued User,mid_trial_dropoff,2,4,30.0,1,-1,0.4,58,2,4
U00014,2026-03-30,not_provided,business,1,Medium,Power Adopter,completed_trial_window,3,7,22.0,1,-1,0.7,73,3,7
U00015,2026-04-28,not_provided,starter,1,Medium,Plateaued User,completed_trial_window,6,4,107.0,1,-2,0.4,67,4,4
U00016,2026-01-21,not_provided,business,1,High,Power Adopter,completed_trial_window,10,6,9.0,1,0,0.6,98,6,6
U00017,2026-04-03,not_provided,pro,0,High,Champion,completed_trial_window,3,6,14.0,1,11,0.6,83,2,6
U00018,2026-01-18,1-10,business,1,High,Champion,completed_trial_window,8,5,24.0,1,16,0.5,98,6,5
U00019,2026-03-16,1-10,pro,0,High,Champion,completed_trial_window,8,6,16.0,1,28,0.6,99,8,6
U00020,2026-01-26,200+,business,1,High,Power Adopter,completed_trial_window,12,6,2.0,1,-10,0.6,98,7,6
U00021,2026-06-12,51-200,pro,0,Medium,Plateaued User,completed_trial_window,4,3,40.0,1,0,0.3,60,4,3
U00022,2026-04-05,51-200,pro,0,Medium,Power Adopter,completed_trial_window,5,2,9.0,1,-6,0.2,69,5,2
U00023,2026-03-10,not_provided,business,0,Low,Growing Casual,mid_trial_dropoff,3,2,108.0,0,5,0.2,39,2,2
U00024,2026-06-15,1-10,pro,0,Medium,Plateaued User,mid_trial_dropoff,1,3,33.0,1,-5,0.3,49,1,3
U00025,2026-06-12,11-50,pro,0,Low,Plateaued User,completed_trial_window,7,2,70.0,0,-4,0.2,43,7,2
U00026,2026-03-04,11-50,starter,1,High,Champion,completed_trial_window,10,6,14.0,1,12,0.6,99,7,6
U00027,2026-03-11,not_provided,business,0,Low,Window Shopper,mid_trial_dropoff,1,1,282.0,0,5,0.1,27,1,1
U00028,2026-05-23,11-50,business,1,High,Late Bloomer,completed_trial_window,7,5,39.0,1,13,0.5,89,4,5
U00029,2026-01-15,11-50,starter,1,Medium,Growing Casual,completed_trial_window,6,3,4.0,0,2,0.3,69,5,3
U00030,2026-04-13,51-200,starter,0,Medium,Plateaued User,completed_trial_window,11,4,4.0,0,-3,0.4,73,9,4
U00031,2026-02-24,not_provided,business,0,High,Champion,completed_trial_window,6,5,0.0,1,5,0.5,96,5,5
U00032,2026-03-22,11-50,business,1,Low,Plateaued User,completed_trial_window,4,2,23.0,0,-4,0.2,43,4,2
U00033,2026-04-12,not_provided,starter,0,Medium,Late Bloomer,completed_trial_window,2,1,180.0,1,3,0.1,49,2,1
U00034,2026-02-06,51-200,pro,0,High,Champion,mid_trial_dropoff,5,6,6.0,1,3,0.6,95,4,6
U00035,2026-03-05,not_provided,pro,0,Medium,Power Adopter,mid_trial_dropoff,3,4,22.0,1,-6,0.4,66,3,4
U00036,2026-05-18,51-200,business,0,Medium,Late Bloomer,completed_trial_window,2,1,328.0,1,7,0.1,49,2,1
U00037,2026-05-30,200+,pro,1,High,Champion,completed_trial_window,6,5,22.0,1,4,0.5,91,6,5
U00038,2026-04-03,11-50,pro,0,High,Late Bloomer,completed_trial_window,8,3,59.0,1,7,0.3,79,7,3
U00039,2026-05-11,200+,starter,0,High,Champion,completed_trial_window,11,5,24.0,1,11,0.5,99,8,5
U00040,2026-01-13,1-10,pro,0,High,Champion,completed_trial_window,10,4,12.0,1,6,0.4,99,9,4
U00041,2026-06-10,11-50,business,1,Medium,Champion,completed_trial_window,2,4,2.0,1,4,0.4,78,2,4
U00042,2026-06-02,1-10,starter,0,High,Champion,completed_trial_window,10,5,24.0,1,12,0.5,99,8,5
U00043,2026-04-08,not_provided,starter,0,Low,Window Shopper,early_dropoff,1,1,305.0,0,1,0.1,27,1,1
U00044,2026-05-16,51-200,pro,0,Medium,Plateaued User,completed_trial_window,7,3,26.0,1,-2,0.3,70,5,3
U00045,2026-01-03,not_provided,business,0,High,Power Adopter,completed_trial_window,7,7,5.0,1,-9,0.7,92,6,7
