user_id,event_timestamp,event_type,device,event_date,event_hour
U00001,2026-06-26 04:19:00,page_view,mobile,2026-06-26,4
U00001,2026-06-19 04:41:00,session_end,mobile,2026-06-19,4
U00001,2026-06-18 02:35:00,session_end,web,2026-06-18,2
U00001,2026-06-15 10:53:00,login,web,2026-06-15,10
U00001,2026-06-25 10:56:00,session_start,unknown,2026-06-25,10
U00002,2026-03-08 14:47:00,logout,web,2026-03-08,14
U00002,2026-03-06 06:06:00,login,mobile,2026-03-06,6
U00002,2026-03-04 19:39:00,login,mobile,2026-03-04,19
U00002,2026-03-13 07:14:00,page_view,web,2026-03-13,7
U00002,2026-03-09 02:44:00,logout,unknown,2026-03-09,2
U00002,2026-03-06 16:54:00,session_end,unknown,2026-03-06,16
U00002,2026-03-15 20:23:00,login,unknown,2026-03-15,20
U00003,2026-02-03 15:08:00,login,mobile,2026-02-03,15
U00003,2026-01-30 01:26:00,logout,web,2026-01-30,1
U00003,2026-02-10 08:26:00,login,mobile,2026-02-10,8
U00004,2026-06-01 06:04:00,login,unknown,2026-06-01,6
U00005,2026-01-22 19:31:00,page_view,web,2026-01-22,19
U00005,2026-01-22 14:56:00,login,unknown,2026-01-22,14
U00005,2026-01-15 01:38:00,page_view,unknown,2026-01-15,1
U00005,2026-01-20 10:25:00,session_end,web,2026-01-20,10
U00005,2026-01-17 03:28:00,session_start,web,2026-01-17,3
U00005,2026-01-23 07:33:00,session_end,unknown,2026-01-23,7
U00006,2026-03-12 01:35:00,session_start,web,2026-03-12,1
U00006,2026-03-04 09:28:00,session_start,web,2026-03-04,9
U00006,2026-03-13 09:29:00,login,unknown,2026-03-13,9
U00006,2026-03-05 19:58:00,login,mobile,2026-03-05,19
U00006,2026-03-08 20:28:00,login,web,2026-03-08,20
U00006,2026-03-03 18:57:00,page_view,mobile,2026-03-03,18
U00007,2026-05-30 13:20:00,session_start,web,2026-05-30,13
U00007,2026-05-26 14:37:00,page_view,mobile,2026-05-26,14
U00007,2026-06-07 14:05:00,login,web,2026-06-07,14
U00007,2026-06-04 20:58:00,page_view,mobile,2026-06-04,20
U00007,2026-06-04 23:07:00,login,web,2026-06-04,23
U00007,2026-06-04 14:40:00,login,web,2026-06-04,14
U00008,2026-04-26 22:24:00,page_view,mobile,2026-04-26,22
U00009,2026-06-06 17:24:00,login,mobile,2026-06-06,17
U00009,2026-06-14 10:36:00,logout,mobile,2026-06-14,10
U00009,2026-06-02 04:11:00,logout,web,2026-06-02,4
U00009,2026-06-06 09:19:00,page_view,unknown,2026-06-06,9
U00009,2026-06-04 20:11:00,login,mobile,2026-06-04,20
